,Body_Name,Service_Area,Expense_Type,Invoice_Payment_Date,Transaction_Number,Net_Amount,Supplier
42,TfGM,Transport,Capital Costs - Planning Support Services,01/04/2016,5100092624,7860.00,JONES LANG LASALLE LTD
43,TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,01/04/2016,5100092625,4940.00,JONES LANG LASALLE LTD
44,TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,01/04/2016,5100092626,800.00,JONES LANG LASALLE LTD
45,TfGM,Transport,Capital Costs - Utility & Service Connection Costs,01/04/2016,5100093378,1253.91,JONES LIGHTING
46,TfGM,Transport,Traffic Signal Works,01/04/2016,5100093379,463.98,JONES LIGHTING
47,TfGM,Transport,Print & Media,01/04/2016,5100092835,994.50,KIND CREATIVE LTD
48,TfGM,Transport,Property Support Services,01/04/2016,5100092527,4405.00,LESLIE ROBERTS AND CO LTD
49,TfGM,Transport,Driver Intervention Course Delivery Costs,01/04/2016,5100092940,2624.80,MANCHESTER CITY COUNCIL
50,TfGM,Transport,Driver Intervention Course Delivery Costs,01/04/2016,5100092944,3744.03,MANCHESTER CITY COUNCIL
51,TfGM,Transport,Highway Safety Support Services,01/04/2016,5100092949,200000.00,MANCHESTER CITY COUNCIL
52,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092584,1237.50,MATCHTECH GROUP PLC
53,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092586,2062.50,MATCHTECH GROUP PLC
54,TfGM,Transport,Concessionary Reimbursement,01/04/2016,1900046300,1182.00,METRO TAXIS LTD
55,TfGM,Transport,Capital Costs - Project Support Services,01/04/2016,5100091917,74016.20,METROLINK RATP DEV LTD
56,TfGM,Transport,Capital Costs - Project Support Services,01/04/2016,5100092135,102972.71,METROLINK RATP DEV LTD
57,TfGM,Transport,Driver Intervention Course Delivery Costs,01/04/2016,5100093427,1087.91,MILES AHEADDRIVER TRAINING LTD
58,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091595,2000.00,MORSON INTERNATIONAL
59,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092299,1200.00,MORSON INTERNATIONAL
60,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092513,2000.00,MORSON INTERNATIONAL
61,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092516,7740.00,MORSON INTERNATIONAL
62,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092726,1713.96,MOTT MACDONALD LTD
63,TfGM,Transport,Capital Costs - Design Support Services,01/04/2016,5100093451,9252.29,MOTT MACDONALD LTD
64,TfGM,Transport,Capital Costs - Design Support Services,01/04/2016,5100093452,42928.03,MOTT MACDONALD LTD
65,TfGM,Transport,Metrolink Operating Costs,01/04/2016,5100091860,8812.51,MPACT THALES
66,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091866,2606.00,MPACT THALES
67,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092271,1979.00,MPACT THALES
68,TfGM,Transport,Capital Costs - Rail Construction Works,01/04/2016,5100092843,2996.02,NETWORK RAIL
69,TfGM,Transport,Exhibitions and Conferences,01/04/2016,5100092724,10292.30,NEXUS
70,TfGM,Transport,Vehicle Repairs & Maintenance,01/04/2016,5100092548,555.00,OPTARE LTD
71,TfGM,Corporate Services,Procurement Services,01/04/2016,5100093503,10500.00,OPUS BESTPAY LTD
72,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091463,2058.55,PERTEMPS PROFESSIONAL STAFFING LTD
73,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091837,1852.70,PERTEMPS PROFESSIONAL STAFFING LTD
74,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092155,2058.55,PERTEMPS PROFESSIONAL STAFFING LTD
75,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092367,2058.55,PERTEMPS PROFESSIONAL STAFFING LTD
76,TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092795,2058.55,PERTEMPS PROFESSIONAL STAFFING LTD
77,TfGM,Corporate Services,Temporary Vacancy Cover,01/04/2016,5100093051,6272.00,PWS TECHNICAL SERVICES (UK) LIMITED
78,TfGM,Transport,Cycling Support Services,01/04/2016,5100093382,540.00,QUEENS HALL ACTION ON POVERTY
79,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091662,1435.00,QUEENSBURY SHELTERS LIMITED
80,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091665,1600.37,QUEENSBURY SHELTERS LIMITED
81,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091742,3063.14,QUEENSBURY SHELTERS LIMITED
82,TfGM,Transport,Passenger Shelter Costs,01/04/2016,5100092407,1891.26,QUEENSBURY SHELTERS LIMITED
83,TfGM,Transport,Capital Costs - Passenger Shelter Costs,01/04/2016,5100092532,975.00,QUEENSBURY SHELTERS LIMITED
84,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092738,1172.55,QUEENSBURY SHELTERS LIMITED
85,TfGM,Transport,Temporary Vacancy Cover,01/04/2016,5100092594,2750.00,Robert Walters Plc
86,TfGM,Transport,Temporary Vacancy Cover,01/04/2016,5100092596,2200.00,Robert Walters Plc
87,TfGM,Transport,Temporary Vacancy Cover,01/04/2016,5100092597,841.01,Robert Walters Plc
88,TfGM,Corporate Services,Temporary Vacancy Cover,01/04/2016,5100092598,611.40,Robert Walters Plc
89,TfGM,Corporate Services,Temporary Vacancy Cover,01/04/2016,5100092600,815.20,Robert Walters Plc
90,TfGM,Corporate Services,Temporary Vacancy Cover,01/04/2016,5100092601,1019.00,Robert Walters Plc
91,TfGM,Corporate Services,Temporary Vacancy Cover,01/04/2016,5100092605,701.63,Robert Walters Plc
92,TfGM,Transport,Business Case Development,01/04/2016,5100093025,3225.00,RULLION ENGINEERING LTD
93,TfGM,Corporate Services,Computer and Communications Equipment,01/04/2016,5100092581,3250.00,SECURE POWER LTD
94,TfGM,Transport,Bus Station & Shelter Consumables,01/04/2016,5100092719,587.52,SHORROCK TRICHEM
95,TfGM,Transport,Traffic Signal Works,01/04/2016,5100092729,13465.27,SIEMENS PLC
96,TfGM,Transport,Traffic Signal Works,01/04/2016,5100092741,3328.00,SIEMENS PLC
97,TfGM,Transport,Traffic Signal Works,01/04/2016,5100092743,2435.42,SIEMENS PLC
98,TfGM,Transport,Traffic Signal Works,01/04/2016,5100093288,2711.76,SIEMENS PLC
99,TfGM,Transport,Vehicle Repairs & Maintenance,01/04/2016,5100093296,514.80,STAGECOACH SERVICES LTD
100,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092544,2025.00,TAMESIDE MBC
101,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092545,2025.00,TAMESIDE MBC
102,TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092546,2025.00,TAMESIDE MBC
103,TfGM,Transport,Subscriptions,01/04/2016,5100093425,12000.00,THE INSTITUTE OF CUSTOMER SERVICE
104,TfGM,Transport,Cycle Training Scheme,01/04/2016,5100093393,1180.00,THE URBAN CYCLE CENTRE CIC
105,TfGM,Transport,Computer and Printing Hardware,01/04/2016,5100092606,695.00,TOTAL COMPUTERS LTD
106,TfGM,Transport,Traffic and Transportation Surveys,01/04/2016,5100092583,660.00,TRACSIS TRAFFIC DATA LTD
107,TfGM,Corporate Services,IS Software & Maintenance,01/04/2016,5100093433,52102.50,TRANSPORT SIMULATION SYSTEMS LTD
108,TfGM,Transport,IS Software & Maintenance,01/04/2016,5100092124,6724.30,TRAPEZE GROUP (UK) LTD
109,TfGM,Transport,IS Support & Maintenance,01/04/2016,5100093466,-1446.70,TRAPEZE GROUP (UK) LTD
110,TfGM,Transport,Security Services,01/04/2016,5100088638,850.00,TRIBAL EDUCATION LTD
111,TfGM,Transport,Security Services,01/04/2016,5100090118,425.00,TRIBAL EDUCATION LTD
112,TfGM,Transport,Sustainable Transport Support Services,01/04/2016,5100093446,2515.60,WIGAN LEISURE & CULTURE TRUST
113,TfGM,Transport,Cycle Training Scheme,01/04/2016,5100093447,750.00,WIGAN LEISURE & CULTURE TRUST
114,TfGM,Corporate Services,Procurement Services,01/04/2016,5100092608,5320.82,WSP UK LTD
115,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046339,1094.00,2020 FLEET TRAINING LTD
116,TfGM,Transport,Planning Support Services,05/04/2016,5100092056,6077.50,AECOM LTD
117,TfGM,Transport,Planning Support Services,05/04/2016,5100092791,14703.75,AECOM LTD
118,TfGM,Transport,Research Services,05/04/2016,5100092792,14788.72,AECOM LTD
119,TfGM,Transport,Capital Costs - Project Support Services,05/04/2016,5100093548,11980.00,AECOM LTD
120,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046352,875.20,A HOLT
121,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046382,656.40,A WOODWARD
122,TfGM,Transport,Capital Costs - Print & Media,05/04/2016,5100092113,15705.45,APPSPACE SOLUTIONS LIMITED
123,TfGM,Transport,Design Support Services,05/04/2016,5100092664,29355.00,ARCADIS LLP
124,TfGM,Corporate Services,Procurement Services,05/04/2016,5100092759,11000.00,ATKINS LTD
125,TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,05/04/2016,5100092798,3231.90,ATKINS LTD
126,TfGM,Transport,Planning Support Services,05/04/2016,5100092845,4825.00,ATKINS LTD
127,TfGM,Transport,Planning Support Services,05/04/2016,5100092851,4825.00,ATKINS LTD
128,TfGM,Transport,Capital Costs - Environmental & Ecological Support Services,05/04/2016,5100093519,-2079.12,ATKINS LTD
129,TfGM,Transport,Capital Costs - Design Support Services,05/04/2016,5100093543,9129.21,ATKINS LTD
130,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046325,547.00,B ASKHAM
131,TfGM,Transport,Sustainable Transport Promotion,05/04/2016,5100092752,826.00,BEELINE PROMOTIONAL PRODUCTS
132,TfGM,Transport,Architectural Services,05/04/2016,5100093531,1953.00,BOWKER SADLER PARTNERSHIP LIMITED
133,TfGM,Transport,Capital Costs - Capital Project Main Contract Works,05/04/2016,5100092910,2036.00,BROXAP LTD
134,TfGM,Corporate Services,Telecommunications,05/04/2016,5100092978,963.23,BT PLC
135,TfGM,Transport,Capital Costs - Computer and Communications Equipment,05/04/2016,5100093021,1129.98,BT PLC
136,TfGM,Corporate Services,IS Software & Maintenance,05/04/2016,5100092635,1556.00,CATALOGIC SOFTWARE LTD
137,TfGM,Transport,Subscriptions,05/04/2016,5100092630,1950.00,CEDREC INFORMATION SYSTEMS LTD
138,TfGM,Transport,Print & Media,05/04/2016,5100092615,2759.00,CHAPEL PRESS LTD
139,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046351,1422.20,C HIRST
140,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046359,656.40,C MACCORMACK
141,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046337,1422.20,CRUISE DRIVER TRAINING
142,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046342,875.20,D ELLIS
143,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046347,1203.40,D HEATHCOTE
144,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046380,656.40,DAVID WALKER DRIVER TRAINING
145,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046381,1689.61,D WALSH
146,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046373,984.60,D ROBINSON
147,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046371,978.51,DRIVER ACADEMY
148,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046377,1507.29,DTS LTD
149,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092905,7656.19,EASYNET GLOBAL SERVICES
150,TfGM,Transport,Capital Costs - Site Investigation Services,05/04/2016,5100093399,20521.43,GEOTECHNICS LIMITED
151,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046374,1094.00,G ROBINSON
152,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046335,978.51,G CLIFFE
153,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100092642,14647.44,GREATER MANCHESTER COMBINED AUTHORI
154,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100092643,15720.24,GREATER MANCHESTER COMBINED AUTHORI
155,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100092645,890.00,GREATER MANCHESTER COMBINED AUTHORI
156,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100092958,15600.28,GREATER MANCHESTER COMBINED AUTHORI
157,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100092961,908.55,GREATER MANCHESTER COMBINED AUTHORI
158,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100092963,54993.37,GREATER MANCHESTER COMBINED AUTHORI
159,TfGM,Transport,Capital Costs - Traffic Signal Works,05/04/2016,5100093035,908.55,GREATER MANCHESTER COMBINED AUTHORI
160,TfGM,Transport,Occupational Health,05/04/2016,5100093307,1618.00,HEALTHWORK
161,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046338,875.20,H DICKINSON
162,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046350,869.11,HOGHTON DRIVING SCHOOL
163,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,5100093329,3062.43,HOLIDAY INN MANCHESTER EAST
164,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046340,547.00,I DUFF
165,TfGM,Transport,Cycling Equipment,05/04/2016,5100093476,1668.00,ICYCLE LTD
166,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046348,547.00,INSIGHT 2 DRIVE
167,TfGM,Transport,Subscriptions,05/04/2016,5100093421,9750.00,INSIGHT MANAGEMENT ACADEMY LTD
168,TfGM,Transport,Capital Costs - Engineering Support Services,05/04/2016,5100090702,423.00,ITS Testing Services (UK) Ltd
169,TfGM,Transport,Infrastructure Support Services,05/04/2016,5100092508,11540.00,JACOBS UK LTD
170,TfGM,Transport,Highway Support Services,05/04/2016,5100092509,12544.00,JACOBS UK LTD
171,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046367,875.20,J MURPHY
172,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046328,984.60,J BOOTHROYD
173,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046363,765.80,J MCGREAL
174,TfGM,Transport,Procurement Services,05/04/2016,5100093509,9975.00,JULIAN BENSON ASSOCIATES LTD
175,TfGM,Transport,Print & Media,05/04/2016,5100092677,900.00,KREATIVE BOMB LIMITED
176,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046332,796.18,L CHAPMAN
177,TfGM,Transport,"Capital Costs - Rent, Rates & Service Charges",05/04/2016,1900046157,6373.75,MANCHESTER CITY COUNCIL
178,TfGM,Transport,Training,05/04/2016,5100093158,8800.00,MANCHESTER CITY COUNCIL
179,TfGM,Corporate Services,IS Support Services,05/04/2016,5100093556,7150.00,MAPSAR LTD
180,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046329,1203.40,MARK BRENNAN DRIVER TRAINING LIMITE
181,TfGM,Transport,Security Services,05/04/2016,5100093275,701.50,MARPOL SECURITY LIMITED
182,TfGM,Transport,Vehicle Costs,05/04/2016,5100092631,45200.00,MCKENNA BROTHERS
183,TfGM,Transport,Vehicle Repairs & Maintenance,05/04/2016,5100092638,1922.00,MCKENNA BROTHERS
184,TfGM,Transport,Property & Equipment Maintenance,05/04/2016,5100092134,9769.46,METROLINK RATP DEV LTD
185,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046327,547.00,MICHAEL BOLTON DRIVER TRAINING
186,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046365,1124.38,MORRIS SCHOOL OF MOTORING
187,TfGM,Transport,Capital Costs - Programme and Project Management Services,05/04/2016,5100092770,1988.75,MORSON INTERNATIONAL
188,TfGM,Transport,Capital Costs - Programme and Project Management Services,05/04/2016,5100092772,1935.00,MORSON INTERNATIONAL
189,TfGM,Transport,Capital Costs - Programme and Project Management Services,05/04/2016,5100092781,1664.00,MORSON INTERNATIONAL
190,TfGM,Transport,Capital Costs - Programme and Project Management Services,05/04/2016,5100092782,1600.00,MORSON INTERNATIONAL
191,TfGM,Transport,Smart Ticketing,05/04/2016,5100092783,6000.00,MORSON INTERNATIONAL
192,TfGM,Transport,Capital Costs - Programme and Project Management Services,05/04/2016,5100092784,3870.00,MORSON INTERNATIONAL
193,TfGM,Corporate Services,IS Support Services,05/04/2016,5100092785,2284.40,MORSON INTERNATIONAL
194,TfGM,Transport,Property & Equipment Maintenance,05/04/2016,5100092267,1702.83,MOTT MACDONALD LTD
195,TfGM,Transport,Property & Equipment Maintenance,05/04/2016,5100092911,6615.38,MOTT MACDONALD LTD
196,TfGM,Transport,Capital Costs - Design Support Services,05/04/2016,5100093110,2187.16,MOTT MACDONALD LTD
197,TfGM,Transport,Capital Costs - Design Support Services,05/04/2016,5100093507,3498.00,MOTT MACDONALD LTD
198,TfGM,Transport,Capital Costs - Design Support Services,05/04/2016,5100093537,91603.00,MOTT MACDONALD LTD
199,TfGM,Transport,Capital Costs - Cycling Support Services,05/04/2016,5100092623,5762.50,MOUCHEL LIMITED
200,TfGM,Transport,CCTV Support Services,05/04/2016,5100093428,16354.38,MPACT THALES
201,TfGM,Transport,Capital Costs - Engineering Support Services,05/04/2016,5100093430,3832.43,MPACT THALES
202,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,5100093553,188720.00,NDORS LTD
203,TfGM,Transport,Community Transport Support Services,05/04/2016,5100093100,3450.00,NEW ECONOMY LTD
204,TfGM,Transport,Capital Costs - Sustainable Travel Grant,05/04/2016,1900046199,20948.80,NEWALL GREEN HIGH SCHOOL
205,TfGM,Transport,Business Case Development,05/04/2016,5100092938,4500.00,NORTHERN RAIL LIMITED
206,TfGM,Transport,Property & Equipment Maintenance,05/04/2016,5100092802,27432.09,NOVUS PROPERTY SOLUTIONS LTD
207,TfGM,Transport,Print & Media,05/04/2016,5100092790,15480.00,PAPER FILMS LTD
208,TfGM,Transport,Heavy Rail Support Services,05/04/2016,5100092794,3850.00,PARITY PROFESSIONALS LTD
209,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046376,1422.20,PAS DRIVING
210,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046333,2501.40,P CLARKE
211,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046345,1641.00,P GLEADALL
212,TfGM,Transport,Insurance,05/04/2016,1900046320,1534.54,PEEL SOUTH EAST LTD
213,TfGM,Transport,Utilities & Energy,05/04/2016,1900046322,7357.41,PEEL WATER SERVICES LTD
214,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046324,686.78,P AINSWORTH
215,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046330,765.80,P BROMLEY
216,TfGM,Transport,Traffic and Transportation Surveys,05/04/2016,5100092935,498.75,PLUSWORK LTD
217,TfGM,Transport,Traffic and Transportation Surveys,05/04/2016,5100092936,622.99,PLUSWORK LTD
218,TfGM,Transport,Traffic and Transportation Surveys,05/04/2016,5100093031,4818.66,PLUSWORK LTD
219,TfGM,Transport,Traffic and Transportation Surveys,05/04/2016,5100093032,5007.60,PLUSWORK LTD
220,TfGM,Transport,Temporary Vacancy Cover,05/04/2016,5100092722,6360.00,PRACTICUS LIMITED
221,TfGM,Transport,Capital Costs - Programme and Project Management Services,05/04/2016,5100093539,1474.00,PRACTICUS LIMITED
222,TfGM,Transport,Passenger Shelter Costs,05/04/2016,5100092908,1435.50,QUEENSBURY SHELTERS LIMITED
223,TfGM,Transport,Capital Costs - Engineering Support Services,05/04/2016,5100093029,5544.00,R & R ENGINEERING LIMITED
224,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046349,547.00,R HILL
225,TfGM,Transport,Smart Ticketing,05/04/2016,5100092001,2340.00,Robert Walters Plc
226,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046346,765.80,R GREENOUGH
227,TfGM,Transport,Business Case Development,05/04/2016,5100093218,1612.50,RULLION ENGINEERING LTD
228,TfGM,Transport,Capital Costs - IS Support Services,05/04/2016,5100093315,2825.00,RULLION ENGINEERING LTD
229,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046369,984.60,SHELLIS SCHOOL OF MOTORING
230,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092697,14960.45,SIEMENS PLC
231,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092698,5890.96,SIEMENS PLC
232,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092701,1615.02,SIEMENS PLC
233,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092703,1615.02,SIEMENS PLC
234,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092704,1623.58,SIEMENS PLC
235,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092705,1615.02,SIEMENS PLC
236,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092707,1126.85,SIEMENS PLC
237,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092708,1715.76,SIEMENS PLC
238,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092710,940.77,SIEMENS PLC
239,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092711,15686.79,SIEMENS PLC
240,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092712,7918.65,SIEMENS PLC
241,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092713,29071.84,SIEMENS PLC
242,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092714,9694.04,SIEMENS PLC
243,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092715,5708.85,SIEMENS PLC
244,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092815,1615.02,SIEMENS PLC
245,TfGM,Transport,Traffic Signal Works,05/04/2016,5100092907,1305.35,SIEMENS PLC
246,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046343,1312.78,SMJ SCHOOL OF MOTORING
247,TfGM,Transport,Design Support Services,05/04/2016,5100092709,13056.00,STEER DAVIES GLEEVE LTD
248,TfGM,Transport,Planning Support Services,05/04/2016,5100093528,38018.38,STEER DAVIES GLEEVE LTD
249,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046366,1118.29,S MUIRHEAD
250,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046358,984.60,STEVEN LLOYD APPROVED SCHOOL OF MOT
251,TfGM,Transport,Driver Intervention Course Delivery Costs,05/04/2016,1900046375,1094.00,S SHAH
252,TfGM,Corporate Services,Printer Consumables,05/04/2016,5100092674,2688.80,TANGIBLE BENEFIT LTD
