Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,04/04/2017,5100107909,"102,375.38",GAMMA TELECOM LIMITED
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107149,617.20,GEZE UK LTD
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107497,820.00,GEZE UK LTD
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107498,695.00,GEZE UK LTD
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107499,870.00,GEZE UK LTD
TfGM,Transport,Sustainable Transport Support Services,04/04/2017,5100107868,750.00,GREATER MANCHESTER SPORTS PARTNERSH
TfGM,Transport,Occupational Health,04/04/2017,5100107967,"3,900.00",HEALTHWORK
TfGM,Transport,Cycling Support Services,04/04/2017,5100107562,594.50,ICYCLE LTD
TfGM,Corporate Services,Computer and Communications Equipment,04/04/2017,5100107540,"6,261.84",INTEROUTE MANAGED SERVICES UK LTD
TfGM,Corporate Services,Computer and Communications Equipment,04/04/2017,5100107541,"2,064.11",INTEROUTE MANAGED SERVICES UK LTD
TfGM,Transport,"Rent, Rates & Service Charges",04/04/2017,1900052315,"2,760.00",JONES LANG LASALLE LTD
TfGM,Transport,Capital Costs - Property Support Services,04/04/2017,5100107614,"12,000.00",JONES LANG LASALLE LTD
TfGM,Transport,Traffic Signal Works,04/04/2017,5100107009,539.83,JONES LIGHTING
TfGM,Transport,Traffic Signal Works,04/04/2017,5100107545,539.83,JONES LIGHTING
TfGM,Transport,Traffic Signal Works,04/04/2017,5100107546,539.83,JONES LIGHTING
TfGM,Transport,Traffic Signal Works,04/04/2017,5100107571,539.83,JONES LIGHTING
TfGM,Transport,Driver Intervention Course Delivery Costs,04/04/2017,5100108174,"1,025.56",K EKERT
TfGM,Transport,Capital Costs - Print & Media,04/04/2017,5100108126,"8,250.00",KILOGRAMME LIMITED
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/04/2017,5100107998,"7,672.50",MACE LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/04/2017,5100107342,"2,062.50",MATCHTECH GROUP PLC
TfGM,Transport,Capital Costs - Metrolink Operating Costs,04/04/2017,5100107916,"224,906.00",METROLINK RATP DEV LTD
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107983,"2,128.70",METROLINK RATP DEV LTD
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107984,"5,711.00",METROLINK RATP DEV LTD
TfGM,Corporate Services,Temporary Vacancy Cover,04/04/2017,5100106543,984.00,MICHAEL PAGE INTERNATIONAL RECRUITM
TfGM,Corporate Services,Temporary Vacancy Cover,04/04/2017,5100107711,"3,996.20",MICHAEL PAGE INTERNATIONAL RECRUITM
TfGM,Corporate Services,Temporary Vacancy Cover,04/04/2017,5100107712,"4,672.48",MICHAEL PAGE INTERNATIONAL RECRUITM
TfGM,Corporate Services,Temporary Vacancy Cover,04/04/2017,5100108044,983.68,MICHAEL PAGE INTERNATIONAL RECRUITM
TfGM,Transport,Mechanical & Engeneering Feasibility Support,04/04/2017,5100105154,"2,200.00",MOTT MACDONALD LTD
TfGM,Transport,Capital Costs - Rail Support Services,04/04/2017,5100107179,"4,218.14",MOTT MACDONALD LTD
TfGM,Transport,Capital Costs - Engineering Support Services,04/04/2017,5100107997,"18,247.13",MOTT MACDONALD LTD
TfGM,Transport,Capital Costs - Engineering Support Services,04/04/2017,5100108195,"1,704.37",MOTT MACDONALD LTD
TfGM,Transport,Capital Costs - Metrolink Operating Costs,04/04/2017,5100107802,"3,674.03",MPACT THALES
TfGM,Transport,Concessionary Reimbursement,04/04/2017,1900052923,"1,200.00",NEXUS MOVE LTD
TfGM,Transport,Cycle Training Scheme,04/04/2017,5100107171,"1,020.00",OLDHAM SIXTH FORM COLLEGE
TfGM,Transport,Programme and Project Management Services,04/04/2017,5100105813,"7,840.00",PA CONSULTING SERVICES LIMITED
TfGM,Transport,Programme and Project Management Services,04/04/2017,5100106146,"3,920.00",PA CONSULTING SERVICES LIMITED
TfGM,Transport,Capital Costs - Legal Services,04/04/2017,5100107899,"1,271.50",PANNONE CORPORATE LLP (EMP)
TfGM,Corporate Services,Financial and Commercial Support Services,04/04/2017,5100108208,"12,350.00",PEAK PERFORMANCE PROFESSIONAL CONTR
TfGM,Transport,Concessionary Reimbursement,04/04/2017,1900052938,"1,103.00",PEMBERTON TAXIS
TfGM,Transport,Capital Costs - Programme and Project Management Services,04/04/2017,5100107600,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD
TfGM,Transport,Capital Costs - Engineering Support Services,04/04/2017,5100107968,"8,925.00",PEWFALL COMMUNICATIONS LIMITED
TfGM,Corporate Services,Procurement Services,04/04/2017,5100107944,"4,037.50",PLAN PROCURE MANAGE LTD
TfGM,Transport,Training,04/04/2017,5100108200,"1,000.00",QA LTD
TfGM,Transport,Print & Media,04/04/2017,5100107892,675.00,RCD
TfGM,Corporate Services,Temporary Vacancy Cover,04/04/2017,1900052777,"2,171.11",REED SPECIALIST RECRUITMENT LTD
TfGM,Transport,Temporary Vacancy Cover,04/04/2017,5100107174,768.86,ROBERT WALTERS PLC
TfGM,Corporate Services,IS Support Services,04/04/2017,5100107175,"2,500.00",ROBERT WALTERS PLC
TfGM,Corporate Services,Temporary Vacancy Cover,04/04/2017,5100107181,701.63,ROBERT WALTERS PLC
TfGM,Transport,Business Case Development,04/04/2017,5100107195,"2,650.00",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,04/04/2017,5100107196,"2,106.00",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,04/04/2017,5100107197,"2,340.00",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,04/04/2017,5100107198,"1,350.00",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Engineering Support Services,04/04/2017,5100108136,"1,094.17",ROBERY FORENSIC ENGINEERING LTD
TfGM,Transport,Capital Costs - Print & Media,04/04/2017,5100107880,"2,293.26",SERVICEPOINT UK
TfGM,Transport,Capital Costs - Print & Media,04/04/2017,5100107886,929.25,SERVICEPOINT UK
TfGM,Transport,Capital Costs - Print & Media,04/04/2017,5100107887,840.00,SERVICEPOINT UK
TfGM,Corporate Services,Procurement Services,04/04/2017,5100108191,"12,650.00",SIMPLY UMBRELLA SERVICES LIMITED
TfGM,Corporate Services,Procurement Services,04/04/2017,5100108207,"13,570.00",SIMPLY UMBRELLA SERVICES LIMITED
TfGM,Transport,Capital Costs - Smart Ticketing,04/04/2017,5100107932,"4,803.70",SOPRA STERIA RECRUITMENT LTD
TfGM,Transport,Heavy Rail Support Services,04/04/2017,5100107867,"18,200.00",STATIONGURU LIMITED
TfGM,Transport,Design Support Services,04/04/2017,5100107221,"7,863.00",STEER DAVIES GLEEVE LTD
TfGM,Transport,Concessionary Reimbursement,04/04/2017,1900052928,812.00,SWINTON PRIVATE HIRE
TfGM,Transport,Business Case Development,04/04/2017,5100099888,"17,880.00",SYSTRA LTD
TfGM,Transport,Business Case Development,04/04/2017,5100101260,"8,775.00",SYSTRA LTD
TfGM,Transport,Business Case Development,04/04/2017,5100101261,"17,880.00",SYSTRA LTD
TfGM,Transport,Cycle Training Scheme,04/04/2017,5100108214,"1,250.00",THE NATIONWIDE CYCLING ACADEMY
TfGM,Transport,Highway Safety Support Services,04/04/2017,5100107633,"18,936.61",TRAFFORD MBC
TfGM,Transport,Supported Bus Services,04/04/2017,5100107457,"58,596.43",TRANSPORT SERVICE SOLUTIONS LTD
TfGM,Transport,Street Furniture Equipment,04/04/2017,5100108007,"7,925.00",TRUEFORM ENGINEERING LTD
TfGM,Transport,Cleaning,04/04/2017,5100106746,"7,751.50",TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100106770,"11,507.06",TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100108036,985.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100108045,860.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100108047,540.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100108048,445.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100108050,440.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Capital Costs - Environmental & Ecological Support Services,04/04/2017,5100108053,660.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,04/04/2017,5100108082,"2,100.00",TUDOR CONTRACT CLEANERS LTD
TfGM,Corporate Services,Computer and Communications Equipment,04/04/2017,5100107074,460.00,VODAFONE LTD
TfGM,Transport,Property & Equipment Maintenance,04/04/2017,5100107875,420.00,XL OFFICE SOLUTIONS
TfGM,Transport,Vehicle Costs,05/04/2017,1200043636,899.44,ALLSTAR
TfGM,Transport,Programme and Project Management Services,05/04/2017,1900053032,"11,250.00",BLACC LTD
TfGM,Transport,Programme and Project Management Services,05/04/2017,5100108235,"6,000.00",BLACC LTD
TfGM,Transport,Business Case Development,05/04/2017,1900053033,"15,937.00",KLF CONSULTANCY LTD
TfGM,Transport,Capital Costs - Project Management Services,05/04/2017,5100108234,"7,840.00",SB PROJECT MANAGEMENT LTD
TfGM,Transport,Capital Costs - Project Management Services,05/04/2017,5100108237,"12,320.00",SB PROJECT MANAGEMENT LTD
TfGM,Transport,Utilities & Energy,05/04/2017,1900052977,"3,340.58",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052980,"2,462.78",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052981,676.11,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052983,510.42,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052984,"1,240.14",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052988,863.80,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052991,"1,367.19",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052994,472.49,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052996,"2,208.48",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900052999,499.19,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053016,"1,907.01",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053018,688.02,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053021,796.68,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053023,"2,472.94",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053024,"1,680.17",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053026,"1,012.96",SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053027,902.68,SWALEC
TfGM,Transport,Utilities & Energy,05/04/2017,1900053029,733.68,SWALEC
TfGM,Transport,Professional Services,06/04/2017,5100108266,"2,356.99",COMMERCIAL STRATEGIES LTD
TfGM,Transport,Capital Costs - Insurance,06/04/2017,5100108238,"42,350.00",LOCKTON COMPANIES LLP
TfGM,Transport,Capital Costs - Insurance,06/04/2017,5100108239,"74,305.00",LOCKTON COMPANIES LLP
TfGM,Transport,Capital Costs - Insurance,06/04/2017,5100108240,"105,875.00",LOCKTON COMPANIES LLP
TfGM,Transport,Capital Costs - Insurance,06/04/2017,5100108241,"426,406.75",LOCKTON COMPANIES LLP
TfGM,Transport,Capital Costs - Engineering Support Services,07/04/2017,5100107234,864.00,AECOM LTD
TfGM,Transport,Design Support Services,07/04/2017,5100107550,"4,000.00",AECOM LTD
TfGM,Transport,Design Support Services,07/04/2017,5100107551,"5,000.00",AECOM LTD
TfGM,Transport,Community Engagement Services,07/04/2017,5100107553,"5,849.50",AECOM LTD
TfGM,Transport,Paper and Printing Consumables,07/04/2017,5100107554,"1,586.54",ANTALIS LTD
TfGM,Transport,Paper and Printing Consumables,07/04/2017,5100107613,834.56,ANTALIS LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107595,"9,280.00",ARCADIS CONSULTING (UK) LTD
TfGM,Transport,Design Support Services,07/04/2017,5100107596,"12,760.06",ARCADIS LLP
TfGM,Transport,Design Support Services,07/04/2017,5100107597,"42,870.00",ARCADIS LLP
TfGM,Transport,Staff Rail Passes,07/04/2017,5100107973,"5,662.60",ARRIVA RAIL NORTH LTD
TfGM,Transport,Staff Rail Passes,07/04/2017,5100107977,"(5,271.30)",ARRIVA RAIL NORTH LTD
TfGM,Transport,Capital Costs - Engineering Support Services,07/04/2017,5100107599,"3,600.00",ATKINS CONSULTANTS LTD
TfGM,Corporate Services,Procurement Services,07/04/2017,5100107826,"11,000.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Capital Costs - Property Support Services,07/04/2017,5100108246,"5,400.00",AXIS PROPERTY CONSULTANCY LLP
TfGM,Transport,Sustainable Travel Grant,07/04/2017,1900052882,"8,714.23",BOLTON AT HOME
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107135,"11,450.77",BT PLC
TfGM,Transport,Capital Costs - Computer and Communications Equipment,07/04/2017,5100108298,"(1,058.95)",BT PLC
TfGM,Transport,Driver Intervention Course Delivery Costs,07/04/2017,5100108231,984.60,BTD TRAINING & CONSULTANCY LTD
TfGM,Corporate Services,IS Support Services,07/04/2017,5100107186,"3,277.24",BYTES SOFTWARE SERVICES LTD
TfGM,Transport,Print & Media,07/04/2017,5100107561,"23,015.70",CARAT MEDIA UK LIMITED
TfGM,Transport,Capital Costs - Environmental & Ecological Support Services,07/04/2017,5100108268,"4,840.00",CEEQUAL LTD
TfGM,Corporate Services,Employee Reimbursed Costs,07/04/2017,5100108303,"13,012.17",CHILDCARE VOUCHERS LTD
TfGM,Corporate Services,Procurement Services,07/04/2017,5100108310,"13,600.00",CNC PERFORMANCE CONSULTANTS LTD
TfGM,Corporate Services,IS Support and Licences,07/04/2017,5100107700,"6,618.78",CTMS LTD
TfGM,Transport,Property & Equipment Maintenance,07/04/2017,5100107426,"12,920.00",CUBIC TRANSPORTATION SYSTEMS (ITMS)
TfGM,Transport,Property & Equipment Maintenance,07/04/2017,5100107427,"10,381.00",CUBIC TRANSPORTATION SYSTEMS (ITMS)
TfGM,Transport,Property & Equipment Maintenance,07/04/2017,5100107428,"4,662.84",CUBIC TRANSPORTATION SYSTEMS (ITMS)
TfGM,Transport,Capital Costs - Legal Services,07/04/2017,5100108259,"1,198.50",DLA PIPER UK LLP
TfGM,Transport,Capital Costs - Legal Services,07/04/2017,5100108261,423.00,DLA PIPER UK LLP
TfGM,Transport,Capital Costs - Legal Services,07/04/2017,5100108262,587.50,DLA PIPER UK LLP
TfGM,Transport,IS Support and Licences,07/04/2017,5100107701,950.00,ESP SYSTEX LTD
TfGM,Transport,Print & Media,07/04/2017,5100108226,"20,000.00",HITCH MARKETING LTD
TfGM,Transport,Telecommunications,07/04/2017,5100107652,"3,005.50",INTEROUTE MANAGED SERVICES UK LTD
TfGM,Transport,Business Case Development,07/04/2017,5100108009,"4,411.12",JACOBS UK LTD
TfGM,Transport,Property Support Services,07/04/2017,5100107202,"2,600.00",JONES LANG LASALLE LTD
TfGM,Corporate Services,IS Support Services,07/04/2017,5100107665,"14,127.98",KONICA MINOLTA (UK)
TfGM,Corporate Services,IS Support Services,07/04/2017,5100107936,"1,981.67",KONICA MINOLTA (UK)
TfGM,Transport,Business Case Development,07/04/2017,5100107686,"36,355.00",KPMG
TfGM,Transport,Smart Ticketing,07/04/2017,5100107685,"9,975.00",MARBLE CONSULTING LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107847,"2,062.50",MATCHTECH GROUP PLC
TfGM,Transport,Capital Costs - Print & Media,07/04/2017,5100108236,"1,395.00",MAYNINETEEN LTD
TfGM,Transport,Room Hire,07/04/2017,5100107769,562.50,MECHANICS CENTRE LTD
TfGM,Transport,Capital Costs - Metrolink Operating Costs,07/04/2017,5100108181,"41,302.00",METROLINK RATP DEV LTD
TfGM,Corporate Services,IS Support Services,07/04/2017,5100106789,"2,284.40",MORSON INTERNATIONAL
TfGM,Corporate Services,IS Support Services,07/04/2017,5100107167,"2,741.28",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107575,"1,935.00",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107576,"1,600.00",MORSON INTERNATIONAL
TfGM,Corporate Services,IS Support Services,07/04/2017,5100107577,"2,284.40",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107578,"1,988.75",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107580,"1,935.00",MORSON INTERNATIONAL
TfGM,Corporate Services,IS Support Services,07/04/2017,5100108004,(456.88),MORSON INTERNATIONAL
TfGM,Transport,Metrolink Operating Costs,07/04/2017,5100107762,"81,452.52",MPACT THALES
TfGM,Transport,Human Resource Services,07/04/2017,5100107982,"8,000.00",ODGERS BERNDTSON
TfGM,Transport,Programme and Project Management Services,07/04/2017,5100107703,"3,920.00",OPTIMISE MANAGEMENT SOLUTIONS LTD
TfGM,Transport,Programme and Project Management Services,07/04/2017,5100107680,"2,097.65",OVE ARUP & PARTNERS INTERNATIONAL L
TfGM,Transport,Capital Costs - Programme and Project Management Services,07/04/2017,5100107848,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD
TfGM,Transport,Concessionary Reimbursement,07/04/2017,1900053139,506.00,PHONE A CAB LTD
TfGM,Transport,Traffic and Transportation Surveys,07/04/2017,5100107745,"4,421.72",PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,07/04/2017,5100107748,"2,700.00",PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,07/04/2017,5100107783,454.38,PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,07/04/2017,5100107794,622.99,PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,07/04/2017,5100107839,604.80,PLUSWORK LTD
TfGM,Transport,Capital Costs - Smart Ticketing,07/04/2017,5100107602,"2,000.00",PRACTICUS LIMITED
TfGM,Transport,Smart Ticketing,07/04/2017,5100107603,"2,500.00",PRACTICUS LIMITED
TfGM,Transport,Subscription,07/04/2017,5100108258,"8,471.63",RAIL NORTH LTD
TfGM,Transport,Training,07/04/2017,5100107910,902.50,RED ROSE TRAINING (BOLTON) LTD
TfGM,Transport,Training,07/04/2017,5100107911,902.50,RED ROSE TRAINING (BOLTON) LTD
TfGM,Transport,Training,07/04/2017,5100107912,977.50,RED ROSE TRAINING (BOLTON) LTD
TfGM,Corporate Services,Temporary Vacancy Cover,07/04/2017,1900052821,"2,342.98",REED SPECIALIST RECRUITMENT LTD
TfGM,Transport,Temporary Vacancy Cover,07/04/2017,5100107727,768.86,ROBERT WALTERS PLC
TfGM,Corporate Services,Temporary Vacancy Cover,07/04/2017,5100107733,701.63,ROBERT WALTERS PLC
TfGM,Transport,Business Case Development,07/04/2017,5100107734,"2,650.00",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,07/04/2017,5100107735,"1,980.99",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,07/04/2017,5100107736,"2,201.10",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,07/04/2017,5100107737,"2,340.00",ROBERT WALTERS PLC
TfGM,Transport,Capital Costs - Smart Ticketing,07/04/2017,5100107920,"2,250.00",ROBERT WALTERS PLC
TfGM,Transport,Postage Costs,07/04/2017,5100108297,615.03,ROYAL MAIL GROUP PLC
TfGM,Transport,Business Case Development,07/04/2017,5100107604,"4,480.00",RULLION ENGINEERING LTD
TfGM,Corporate Services,IS Support Services,07/04/2017,5100107605,"2,475.00",RULLION ENGINEERING LTD
TfGM,Transport,Print & Media,07/04/2017,5100106664,500.00,SALFORD CITY COUNCIL
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107653,"11,195.41",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107654,"8,286.64",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107871,"26,695.40",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107872,"26,090.40",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107874,"19,600.34",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107876,"31,429.93",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107941,(784.65),SIEMENS PLC
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107950,"8,820.49",SIEMENS PLC
TfGM,Transport,Capital Costs - Environmental & Ecological Support Services,07/04/2017,5100107431,"1,310.00",SPECIMEN TREES LTD
TfGM,Transport,Design Support Services,07/04/2017,5100107626,"9,242.00",STEER DAVIES GLEEVE LTD
TfGM,Transport,Planning Support Services,07/04/2017,5100107677,"4,473.00",STEER DAVIES GLEEVE LTD
TfGM,Transport,Design Support Services,07/04/2017,5100107678,"3,935.50",STEER DAVIES GLEEVE LTD
TfGM,Transport,Supported Bus Services,07/04/2017,1900053170,"24,002.80",STOTTS TOURS
TfGM,Transport,Capital Costs - Traffic and Transportation Surveys,07/04/2017,5100108141,"19,410.50",SUSTRANS LTD
TfGM,Transport,Research Services,07/04/2017,5100107628,668.75,SYSTRA LTD
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107691,"6,502.50",TDC SYSTEMS LTD
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107692,735.00,TDC SYSTEMS LTD
TfGM,Transport,Traffic Signal Works,07/04/2017,5100107693,420.00,TDC SYSTEMS LTD
TfGM,Transport,Cycling Support Services,07/04/2017,5100108267,"1,115.00",THE URBAN CYCLE CENTRE CIC
TfGM,Transport,Cleaning,07/04/2017,5100108054,465.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,07/04/2017,5100108055,520.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,07/04/2017,5100108056,750.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,07/04/2017,5100108063,750.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,07/04/2017,5100108064,900.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,07/04/2017,5100108086,725.17,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Cleaning,07/04/2017,5100108243,560.00,TUDOR CONTRACT CLEANERS LTD
TfGM,Transport,Training,07/04/2017,5100107627,600.00,WHITE HART TRAINING LIMITED
TfGM,Transport,Engineering Support Services,07/04/2017,5100107574,"35,000.00",WSP UK LTD
TfGM,Transport,Community Engagement Services,07/04/2017,5100107743,"12,822.00",WSP UK LTD
TfGM,Transport,Cycling Support Services,07/04/2017,5100107939,"3,408.00",WSP UK LTD
TfGM,Transport,Supported Bus Services,10/04/2017,1900053171,"80,280.00",FIRST MANCHESTER
TfGM,Transport,Utilities & Energy,10/04/2017,1900052961,747.83,SWALEC
TfGM,Transport,Utilities & Energy,10/04/2017,1900052962,"3,156.78",SWALEC
TfGM,Transport,Utilities & Energy,10/04/2017,1900053214,"12,435.60",SWALEC
TfGM,Transport,Utilities & Energy,10/04/2017,1900053215,"2,534.27",SWALEC
TfGM,Transport,Utilities & Energy,10/04/2017,1900053220,"1,933.86",SWALEC
TfGM,Transport,Utilities & Energy,10/04/2017,1900053221,537.65,SWALEC
TfGM,Transport,Utilities & Energy,10/04/2017,1900053224,656.69,SWALEC
TfGM,Transport,Driver Intervention Course Delivery Costs,11/04/2017,1900053056,"1,531.60",2020 FLEET TRAINING LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,11/04/2017,1900053069,"1,422.20",A HOLT
TfGM,Transport,Research Services,11/04/2017,5100107934,"2,000.00",AECOM LTD
TfGM,Transport,Capital Costs - Project Management Services,11/04/2017,5100107930,"3,600.00",ATKINS CONSULTANTS LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,11/04/2017,1900053044,"1,203.40",B ASKHAM
TfGM,Transport,Print & Media,11/04/2017,5100107948,700.00,BOSS DIRECT
TfGM,Transport,Capital Costs - Community Transport Support Services,11/04/2017,5100108366,"3,226.98",BREAKTHROUGH UK LTD
TfGM,Transport,Capital Costs - Community Transport Support Services,11/04/2017,5100108367,"2,843.09",BREAKTHROUGH UK LTD
